name,Subgrade K-Value (psi/in.),Base Tickness (in. ),Modulus of Base Layer(psi),Composite K(psi/in)
1,25,2,50,56 
2,25,2,60,57 
3,25,2,70,59 
4,25,2,80,60 
5,25,2,90,62 
6,25,2,100,63 
7,25,2,150,67 
8,25,2,200,72 
9,25,2,250,76 
10,25,2,300,80 
11,25,2,350,84 
12,25,2,400,87 
13,25,2,450,91 
14,25,2,500,94 
15,25,2,550,97 
16,25,2,600,100 
17,25,2,650,103 
18,25,2,700,106 
19,25,2,750,109 
20,25,2,800,111 
21,25,2,850,114 
22,25,2,900,117 
23,25,2,950,120 
24,25,2,1000,123 
25,25,2,1100,128 
26,25,2,1200,133 
27,25,2,1300,138 
28,25,2,1400,143 
29,25,2,1500,149 
30,25,2,1600,154 
31,25,2,1700,159 
32,25,2,1800,164 
33,25,2,1900,169 
34,25,2,2000,174 
35,25,3,50,67 
36,25,3,60,70 
37,25,3,70,72 
38,25,3,80,75 
39,25,3,90,77 
40,25,3,100,80 
41,25,3,150,89 
42,25,3,200,98 
43,25,3,250,106 
44,25,3,300,115 
45,25,3,350,120 
46,25,3,400,125 
47,25,3,450,129 
48,25,3,500,134 
49,25,3,550,142 
50,25,3,600,151 
51,25,3,650,159 
52,25,3,700,167 
53,25,3,750,176 
54,25,3,800,184 
55,25,3,850,192 
56,25,3,900,200 
57,25,3,950,209 
58,25,3,1000,217 
59,25,3,1100,229 
60,25,3,1200,241 
61,25,3,1300,253 
62,25,3,1400,265 
63,25,3,1500,278 
64,25,3,1600,290 
65,25,3,1700,302 
66,25,3,1800,314 
67,25,3,1900,326 
68,25,3,2000,338 
69,25,4,50,81 
70,25,4,60,85 
71,25,4,70,89 
72,25,4,80,93 
73,25,4,90,97 
74,25,4,100,101 
75,25,4,150,116 
76,25,4,200,132 
77,25,4,250,147 
78,25,4,300,162 
79,25,4,350,176 
80,25,4,400,191 
81,25,4,450,205 
82,25,4,500,219 
83,25,4,550,232 
84,25,4,600,244 
85,25,4,650,257 
86,25,4,700,270 
87,25,4,750,283 
88,25,4,800,295 
89,25,4,850,308 
90,25,4,900,321 
91,25,4,950,333 
92,25,4,1000,346 
93,25,4,1100,368 
94,25,4,1200,390 
95,25,4,1300,412 
96,25,4,1400,434 
97,25,4,1500,457 
98,25,4,1600,479 
99,25,4,1700,501 
100,25,4,1800,523 
101,25,4,1900,545 
102,25,4,2000,567 
103,25,5,50,97 
104,25,5,60,103 
105,25,5,70,109 
106,25,5,80,114 
107,25,5,90,120 
108,25,5,100,126 
109,25,5,150,151 
110,25,5,200,176 
111,25,5,250,200 
112,25,5,300,225 
113,25,5,350,244 
114,25,5,400,263 
115,25,5,450,281 
116,25,5,500,300 
117,25,5,550,322 
118,25,5,600,344 
119,25,5,650,365 
120,25,5,700,387 
121,25,5,750,409 
122,25,5,800,431 
123,25,5,850,453 
124,25,5,900,474 
125,25,5,950,496 
126,25,5,1000,518 
127,25,5,1100,554 
128,25,5,1200,589 
129,25,5,1300,625 
130,25,5,1400,661 
131,25,5,1500,697 
132,25,5,1600,732 
133,25,5,1700,768 
134,25,5,1800,804 
135,25,5,1900,839 
136,25,5,2000,875 
137,25,6,50,115 
138,25,6,60,123 
139,25,6,70,132 
140,25,6,80,140 
141,25,6,90,149 
142,25,6,100,157 
143,25,6,150,193 
144,25,6,200,229 
145,25,6,250,264 
146,25,6,300,300 
147,25,6,350,333 
148,25,6,400,366 
149,25,6,450,399 
150,25,6,500,432 
151,25,6,550,463 
152,25,6,600,493 
153,25,6,650,524 
154,25,6,700,555 
155,25,6,750,586 
156,25,6,800,616 
157,25,6,850,647 
158,25,6,900,678 
159,25,6,950,708 
160,25,6,1000,739 
161,25,6,1100,792 
162,25,6,1200,846 
163,25,6,1300,899 
164,25,6,1400,952 
165,25,6,1500,1006 
166,25,6,1600,1059 
167,25,6,1700,1112 
168,25,6,1800,1165 
169,25,6,1900,1219 
170,25,6,2000,1272 
171,50,2,50,81 
172,50,2,60,82 
173,50,2,70,84 
174,50,2,80,85 
175,50,2,90,87 
176,50,2,100,88 
177,50,2,150,92 
178,50,2,200,97 
179,50,2,250,101 
180,50,2,300,105 
181,50,2,350,109 
182,50,2,400,112 
183,50,2,450,116 
184,50,2,500,119 
185,50,2,550,122 
186,50,2,600,125 
187,50,2,650,128 
188,50,2,700,131 
189,50,2,750,134 
190,50,2,800,136 
191,50,2,850,139 
192,50,2,900,142 
193,50,2,950,145 
194,50,2,1000,148 
195,50,2,1100,153 
196,50,2,1200,158 
197,50,2,1300,163 
198,50,2,1400,168 
199,50,2,1500,174 
200,50,2,1600,179 
201,50,2,1700,184 
202,50,2,1800,189 
203,50,2,1900,194 
204,50,2,2000,199 
205,50,3,50,92 
206,50,3,60,95 
207,50,3,70,97 
208,50,3,80,100 
209,50,3,90,102 
210,50,3,100,105 
